Question,Expected Topic,Expected Document,Difficulty,Retrieved Documents,Correct Retrieval,Response Time (s),Generated Answer
What is the James Webb Space Telescope?,JWST,WEbb overview,Easy,"04_JWST_Webb_Media_Kit, WEbb overview",True,2.92,"The James Webb Space Telescope is the largest and most powerful space science telescope ever built. It is the scientific successor to the Hubble and Spitzer space telescopes, designed to study every phase of cosmic history by accessing near-infrared and mid-infrared wavelengths with unprecedented resolution. It aims to reveal new discoveries and help humankind understand the origins of the universe and our place in it."
What is a black hole?,Black Holes,Black Hole Basics,Easy,"Black Hole Basics, Hubble Science Highlights, Black Hole Anatomy",True,1.78,"Black holes are huge concentrations of matter packed into very tiny spaces. They are so dense that gravity just beneath their surface, the event horizon, is strong enough that nothing, not even light, can escape."
What is dark matter?,Dark Matter,Dark Matter,Easy,"Dark Matter, Dark Energy",True,1.91,"Dark matter is an invisible, mysterious material that makes up most of the matter in the universe, estimated to be about 27% of the universe. It acts as an invisible glue that holds the universe together, making up most of the mass in galaxies and galaxy clusters, and is thought to shape the cosmos by organizing galaxies and cosmic objects on a large scale. It is an invisible form of matter that creates the gravity holding galaxies together."
What is dark energy?,Dark Energy,Dark Energy,Easy,Dark Energy,True,2.2,"Dark energy is one of the great mysteries of the universe. Some scientists hypothesize it could be a type of energy fluid or field that fills space, behaves in an opposite way to normal matter, and can vary in its amount and distribution. Others think it is a fundamental, ever-present background energy in space known as vacuum energy, which could be equal to the cosmological constant. Dark energy is not the same as dark matter."
What is the Big Bang?,Big Bang,Big Bang and the Evolution of the Universe,Easy,"Big bang, Hubble Science Highlights, Dark Energy, Big Bang and the Evolution of the Universe, Dark Matter",True,1.3,I couldn't find that information in the provided NASA documents.
What is an exoplanet?,Exoplanets,Exoplanets,Easy,"01_NASA_Exoplanets_Overview, Exoplanet Exploration Program",True,1.56,An exoplanet is any planet beyond our solar system.
What is the Hubble Space Telescope?,Hubble,Hubble fact overview,Easy,"Hubble fact overview, Habitable Worlds, Hubble Science Highlights, Hubble Instruments",True,2.73,"The Hubble Space Telescope (HST) is a telescope launched in 1990 that has revolutionized astronomers' vision and fundamental understanding of the universe. It has revealed many new details about planets, stars, and galaxies, and is equipped to take images in various wavelengths of light."
What is the Hubble Space Telescope?,Hubble,Hubble fact overview,Easy,"Hubble fact overview, Habitable Worlds, Hubble Science Highlights, Hubble Instruments",True,3.32,"The Hubble Space Telescope (HST) is a telescope that was deployed in April 1990. Since its launch, it has revolutionized astronomers' vision of the universe, revealing new details about planets, stars, and galaxies, and changing our fundamental understanding of the universe. It is equipped to take images in various wavelengths of light."
What is the event horizon?,Black Holes,Black Hole Anatomy,Easy,"Black Hole Anatomy, Black Hole Basics, Welcome to the Universe, 01_NASA_Exoplanets_Overview, Dark Matter",True,2.01,"The event horizon is considered the black hole's surface. Inside this boundary, the velocity needed to escape the black hole exceeds the speed of light, meaning anything that passes into it, including light, cannot escape."
What is the Artemis mission?,Artemis,About NASA,Easy,"Artemis overview, Mars Exploration Science Goals, 03_TESS_Mission, NASA_Missions_Overview",False,2.71,"The Artemis mission is a series of increasingly complex missions designed to enable human exploration at the Moon and future missions to Mars. It includes crewed flights, lunar landings, and testing commercial landers."
